id,company,rank,revenue,profit,num. of employees,sector,city,state,newcomer,ceo_founder,ceo_woman,profitable
298,Molson Coors Beverage,298,10579.4,241.7,17700,"Food, Beverages & Tobacco",Denver,CO,0,0,0,1
299,Steel Dynamics,299,10465,671.1,8385,Materials,Fort Wayne,IN,0,1,0,1
300,Mutual of Omaha Insurance,300,10455.7,271.5,6072,Financials,Omaha,NE,0,0,0,1
301,Sonic Automotive,301,10454.3,144.1,9300,Retailing,Charlotte,NC,0,0,0,1
302,Alcoa,302,10433,-1125,13800,Materials,Pittsburgh,PA,0,0,0,0
303,Fidelity National Information Services,303,10333,298,55000,Business Services,Jacksonville,FL,0,0,0,1
304,Henry Schein,304,10305.3,694.7,19000,Health Care,Melville,NY,0,0,0,1
305,Republic Services,305,10299.4,1073.3,36000,Business Services,Phoenix,AZ,0,0,0,1
306,Liberty Media,306,10292,106,6753,Media,Englewood,CO,0,0,0,1
307,Peter Kiewit Sons&#8217;,307,10283,419,23000,Engineering & Construction,Omaha,NE,0,0,0,1
308,Interpublic Group,308,10221.3,656,54300,Business Services,New York,NY,0,0,0,1
309,PulteGroup,309,10213,1016.7,5245,Engineering & Construction,Atlanta,GA,0,0,0,1
310,AES,310,10189,303,8000,Energy,Arlington,VA,0,0,0,1
311,Fiserv,311,10187,893,44000,Business Services,Brookfield,WI,0,0,0,1
312,BorgWarner,312,10168,746,29000,Motor Vehicles & Parts,Auburn Hills,MI,0,0,0,1
313,Oneok,313,10164.4,1278.6,2882,Energy,Tulsa,OK,0,0,0,1
314,O&#8217;Reilly Automotive,314,10150,1391,67663,Retailing,Springfield,MO,0,0,0,1
315,Assurant,315,10086.8,382.6,13900,Financials,New York,NY,0,0,0,1
316,Newell Brands,316,10083.1,106.6,30000,Household Products,Atlanta,GA,0,0,0,1
317,Public Service Enterprise Group,317,10076,1693,12992,Energy,Newark,NJ,0,0,0,1
318,News Corp.,318,10074,155,28000,Media,New York,NY,0,0,0,1
319,Calpine,319,10072,770,2256,Energy,Houston,TX,0,0,0,1
320,Auto-Owners Insurance,320,10007.4,1352.4,6141,Financials,Lansing,MI,0,0,0,1
321,Mohawk Industries,321,9970.7,744.2,41800,Household Products,Calhoun,GA,0,0,0,1
322,PVH,322,9909,417.3,30750,Apparel,New York,NY,0,0,0,1
323,Campbell Soup,323,9909,211,19000,"Food, Beverages & Tobacco",Camden,NJ,0,0,0,1
324,NRG Energy,324,9871,4438,4577,Energy,Princeton,NJ,0,0,0,1
325,Fifth Third Bancorp,325,9790,2512,19869,Financials,Cincinnati,OH,0,0,0,1
326,Hertz Global Holdings,326,9779,-58,38000,Retailing,Estero,FL,0,0,0,0
327,Altice USA,327,9760.9,138.9,10700,Telecommunications,Long Island City,NY,0,0,0,1
328,Newmont,328,9740,2805,16600,Energy,Greenwood Village,CO,0,0,0,1
329,Cheniere Energy,329,9730,648,1530,Energy,Houston,TX,0,0,0,1
330,Advance Auto Parts,330,9709,486.9,53000,Retailing,Raleigh,NC,0,0,0,1
331,Lam Research,331,9653.6,2191.4,10700,Technology,Fremont,CA,0,0,0,1
332,Owens & Minor,332,9650,-62.4,15400,Health Care,Mechanicsville,VA,0,0,0,0
333,Equitable Holdings,333,9591,-1733,10100,Financials,New York,NY,1,0,0,0
334,Conagra Brands,334,9538.4,678.3,18000,"Food, Beverages & Tobacco",Chicago,IL,0,0,0,1
335,Markel,335,9526.2,1790.5,18600,Financials,Glen Allen,VA,0,0,0,1
336,Jones Financial (Edward Jones),336,9526,1092,49000,Financials,Des Peres,MO,0,0,1,1
337,Hormel Foods,337,9497.3,978.8,18800,"Food, Beverages & Tobacco",Austin,MN,0,0,0,1
338,Hilton Worldwide Holdings,338,9452,881,173000,"Hotels, Restaurants & Leisure",McLean,VA,0,0,0,1
339,Univar Solutions,339,9443.8,-100.2,10300,Wholesalers,Downers Grove,IL,0,0,0,0
340,United Rentals,340,9351,1174,19100,Business Services,Stamford,CT,0,0,0,1
341,Pioneer Natural Resources,341,9304,756,2323,Energy,Irving,TX,0,0,0,1
342,Delek US Holdings,342,9298.2,310.6,3707,Energy,Brentwood,TN,0,0,0,1
343,Eastman Chemical,343,9273,759,14500,Chemicals,Kingsport,TN,0,0,0,1
344,EMCOR Group,344,9174.6,325.1,36000,Engineering & Construction,Norwalk,CT,0,0,0,1
345,Avis Budget Group,345,9172,302,25600,Retailing,Parsippany,NJ,0,0,0,1
346,J.B. Hunt Transport Services,346,9165.3,516.3,29056,Transportation,Lowell,AR,0,0,0,1
347,Xerox Holdings,347,9145,1353,27000,Technology,Norwalk,CT,0,0,0,1
348,Wayfair,348,9127.1,-984.6,16985,Retailing,Boston,MA,0,1,0,0
349,KKR,349,9120.3,2005,1384,Financials,New York,NY,1,0,0,1
350,AGCO,350,9041.4,125.2,20961,Industrials,Duluth,GA,0,0,0,1
351,Alleghany,351,9040.7,857.8,10786,Financials,New York,NY,0,0,0,1
352,Icahn Enterprises,352,8992,-1098,28033,Financials,New York,NY,0,0,0,0
353,Voya Financial,353,8942,-351,6000,Financials,New York,NY,0,0,0,0
354,Ryder System,354,8925.8,-24.4,39900,Transportation,Miami,FL,0,0,0,0
355,Air Products & Chemicals,355,8918.9,1760,17570,Chemicals,Allentown,PA,0,0,0,1
356,Mosaic,356,8906.3,-1067.4,12600,Chemicals,Tampa,FL,0,0,0,0
357,Huntington Ingalls Industries,357,8899,549,42000,Aerospace & Defense,Newport News,VA,0,0,0,1
358,Berry Global Group,358,8878,404,48000,Materials,Evansville,IN,0,0,0,1
359,Anixter International,359,8845.6,262.9,9400,Wholesalers,Glenview,IL,0,0,0,1
360,Alaska Air Group,360,8781,769,24134,Transportation,Seattle,WA,0,0,0,1
361,Yum China Holdings,361,8776,713,450000,"Hotels, Restaurants & Leisure",Plano,TX,0,0,1,1
362,Dick&#8217;s Sporting Goods,362,8750.7,297.5,28450,Retailing,Coraopolis,PA,0,0,1,1
363,Caesars Holdings,363,8742,-1195,64000,"Hotels, Restaurants & Leisure",Las Vegas,NV,0,0,0,0
364,Genworth Financial,364,8681,343,3100,Financials,Richmond,VA,0,0,0,1
365,Targa Resources,365,8671.1,-209.2,2680,Energy,Houston,TX,0,0,0,0
366,Coty,366,8648.5,-3784.2,19000,Household Products,New York,NY,0,0,1,0
367,Dana,367,8620,226,36300,Motor Vehicles & Parts,Maumee,OH,0,0,0,1
368,Thrivent Financial for Lutherans,368,8611.7,968.1,3235,Financials,Minneapolis,MN,0,0,1,1
369,Autoliv,369,8547.6,461.5,61957,Motor Vehicles & Parts,Auburn Hills,MI,0,0,0,1
370,SpartanNash,370,8536.1,5.7,13800,Wholesalers,Byron Center,MI,0,0,0,1
371,Eversource Energy,371,8526.5,909.1,8234,Energy,Springfield,MA,0,0,0,1
372,Darden Restaurants,372,8510.4,713.4,184514,"Hotels, Restaurants & Leisure",Orlando,FL,0,0,0,1
373,Chesapeake Energy,373,8489,-308,2300,Energy,Oklahoma City,OK,0,0,0,0
374,NOV,374,8479,-6095,34645,Energy,Houston,TX,0,0,0,0
375,Fidelity National Financial,375,8469,1062,23484,Financials,Jacksonville,FL,0,0,0,1
376,Erie Insurance Group,376,8443.3,551,5778,Financials,Erie,PA,0,0,0,1
377,Oshkosh,377,8382,579.4,15400,Industrials,Oshkosh,WI,0,0,0,1
378,Casey&#8217;s General Stores,378,8364.9,203.9,26866,Retailing,Ankeny,IA,0,0,0,1
379,WESCO International,379,8358.9,223.4,9500,Wholesalers,Pittsburgh,PA,0,0,0,1
380,Tractor Supply,380,8351.9,562.4,24000,Retailing,Brentwood,TN,0,0,0,1
381,CommScope Holding,381,8345.1,-929.5,30000,Technology,Hickory,NC,1,0,0,0
382,Huntsman,382,8342,562,10000,Chemicals,The Woodlands,TX,0,0,0,1
383,American Financial Group,383,8237,897,7700,Financials,Cincinnati,OH,0,0,0,1
384,Masco,384,8235,935,22000,Household Products,Livonia,MI,0,0,0,1
385,Sanmina,385,8233.9,141.5,38500,Technology,San Jose,CA,0,0,0,1
386,Amphenol,386,8225.4,1155,74000,Technology,Wallingford,CT,0,0,0,1
387,Williams,387,8201,850,4812,Energy,Tulsa,OK,0,0,0,1
